Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 62923)
rand_mask=b'V2R\xcc\x9b!El'
masked_addr=b'V\x87\xffo\x9a!El'
target_addr=00b5ada301000000
lowest_message_bit=15
key 0
1: expect=-2, actual=np.int64(-3), [0.928, 0.072, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
441: expect=1, actual=np.int64(0), [0.000, 0.023, 0.093, 0.715, 0.163, 0.006, 0.001], checks for var: 19
442: expect=-1, actual=np.int64(-3), [0.964, 0.002, 0.020, 0.014, 0.000, 0.000, 0.000], checks for var: 17
445: expect=-2, actual=np.int64(0), [0.001, 0.002, 0.001, 0.801, 0.195, 0.000, 0.000], checks for var: 20
447: expect=0, actual=np.int64(1), [0.000, 0.000, 0.001, 0.008, 0.983, 0.008, 0.000], checks for var: 18
451: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.057, 0.942, 0.000, 0.000, 0.000], checks for var: 19
452: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.997, 0.003, 0.000, 0.000], checks for var: 19
459: expect=-1, actual=np.int64(-2), [0.003, 0.776, 0.177, 0.043, 0.000, 0.000, 0.000], checks for var: 19
460: expect=-2, actual=np.int64(0), [0.002, 0.009, 0.228, 0.760, 0.000, 0.000, 0.000], checks for var: 19
461: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.130, 0.847, 0.021, 0.000, 0.000], checks for var: 18
463: expect=-1, actual=np.int64(-2), [0.029, 0.968, 0.002, 0.000, 0.000, 0.000, 0.000], checks for var: 20
464: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.032, 0.967, 0.000, 0.000, 0.000], checks for var: 19
466: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.062, 0.938], checks for var: 19
468: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000], checks for var: 19
472: expect=3, actual=np.int64(1), [0.000, 0.000, 0.000, 0.006, 0.580, 0.333, 0.081], checks for var: 19
473: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.979, 0.018, 0.003, 0.001], checks for var: 18
474: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.803, 0.196, 0.000, 0.000, 0.000], checks for var: 18
476: expect=-2, actual=np.int64(-3), [0.621, 0.321, 0.058, 0.000, 0.000, 0.000, 0.000], checks for var: 20
477: expect=-1, actual=np.int64(-2), [0.328, 0.656, 0.016, 0.000, 0.000, 0.000, 0.000], checks for var: 20
478: expect=-2, actual=np.int64(-1), [0.001, 0.020, 0.979, 0.000, 0.000, 0.000, 0.000], checks for var: 19
481: expect=-1, actual=np.int64(-2), [0.007, 0.985, 0.008, 0.000, 0.000, 0.000, 0.000], checks for var: 17
484: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.003, 0.982, 0.014, 0.000, 0.000], checks for var: 18
485: expect=-1, actual=np.int64(0), [0.000, 0.019, 0.005, 0.976, 0.000, 0.000, 0.000], checks for var: 18
486: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.997, 0.003, 0.000, 0.000, 0.000], checks for var: 17
487: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.006, 0.614, 0.379, 0.001], checks for var: 18
488: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.001, 0.997, 0.001, 0.000, 0.000], checks for var: 17
489: expect=0, actual=np.int64(-1), [0.005, 0.019, 0.880, 0.096, 0.000, 0.000, 0.000], checks for var: 19
490: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.002, 0.000, 0.000], checks for var: 17
493: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 18
495: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.022, 0.913, 0.014, 0.051], checks for var: 19
497: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.012, 0.987, 0.000, 0.000, 0.000], checks for var: 18
498: expect=-2, actual=np.int64(-1), [0.000, 0.000, 0.995, 0.005, 0.000, 0.000, 0.000], checks for var: 16
499: expect=-2, actual=np.int64(-1), [0.002, 0.084, 0.914, 0.000, 0.000, 0.000, 0.000], checks for var: 15
500: expect=2, actual=np.int64(0), [0.000, 0.000, 0.001, 0.996, 0.003, 0.000, 0.000], checks for var: 17
501: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.992, 0.008, 0.000], checks for var: 18
502: expect=-1, actual=np.int64(-2), [0.031, 0.810, 0.159, 0.000, 0.000, 0.000, 0.000], checks for var: 20
505: expect=-1, actual=np.int64(-2), [0.000, 0.928, 0.071, 0.000, 0.000, 0.000, 0.000], checks for var: 18
507: expect=-2, actual=np.int64(-1), [0.010, 0.253, 0.588, 0.136, 0.014, 0.000, 0.000], checks for var: 18
508: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.004, 0.759, 0.237, 0.000, 0.000], checks for var: 16
510: expect=1, actual=np.int64(0), [0.000, 0.001, 0.000, 0.989, 0.010, 0.000, 0.000], checks for var: 16
511: expect=-2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.998, 0.002, 0.000], checks for var: 18
Real number of measurements used = 11767
Average number of incorrect coefficients = 263.0
Difference array: [263]
Average oracle calls used = 3127.0
Timing information (per key) in ms
---- conditional pmf computation 0
---- LDPC decoder 98584.65925
---- LDPC decoder during batches 86478.585915
---- Base case handling (everything) 22157.957
---- Computation of marginals for base 381.113749
---- Enumerating promising directions 74020.047505
---- Total time spend in batches 324809.940916
Number of correct oracle calls is 2262 out of 3127 leading to empirical accuracy 0.7234
y_statistic=defaultdict(<class 'int'>, {0: 1033, 1: 1198})
